playerIdOpta,playerNameOpta,playerNameWy,playerIdWy,Ratio,value
57513,Jonas Lössl,Jonas Lössl,56038,Dribble,3.0
57531,Michail Antonio,Michail Antonio,8677,Dribble,1.4533333333333334
57586,Luciano Narsingh,Luciano Narsingh,179,Dribble,1.6666666666666667
58376,Alex McCarthy,Alex McCarthy,8580,Dribble,
58621,Kyle Walker,Kyle Walker,8277,Dribble,1.1794871794871795
58786,Martin Kelly,Martin Kelly,7958,Dribble,1.0
58822,Cédric Soares,Cédric Ricardo Alves Soares,70389,Dribble,1.3076923076923077
58845,Ciaran Clark,Ciaran Clark,8004,Dribble,1.3333333333333333
58877,Daley Blind,Daley Blind,38,Dribble,1.0
59735,Karl Darlow,Karl Darlow,8826,Dribble,
59779,Pedro Obiang,Pedro Mba Obiang Avomo,20620,Dribble,2.0833333333333335
59846,Ander Herrera,Ander Herrera Agüera,3413,Dribble,1.25
59859,Ilkay Gündogan,İlkay Gündoğan,14808,Dribble,1.4074074074074074
59940,Kyle Bartley,Kyle Bartley,61979,Dribble,
59949,Séamus Coleman,Séamus Coleman,8240,Dribble,1.565217391304348
59966,Alexandre Lacazette,Alexandre Lacazette,25413,Dribble,1.3333333333333333
60232,Craig Dawson,Craig Dawson,8360,Dribble,1.3636363636363635
60252,Andros Townsend,Andros Townsend,8471,Dribble,1.5604395604395604
60307,Pascal Groß,Pascal Groß,15526,Dribble,2.0
60551,Ashley Westwood,Ashley Westwood,8925,Dribble,2.0
60586,Jóhann Gudmundsson,Johann Berg Guðmunds­son,93,Dribble,1.7619047619047619
60598,Aleksandar Dragovic,Aleksandar Dragović,49859,Dribble,
60689,Chris Wood,Chris Wood,9206,Dribble,1.5714285714285714
60706,Adrián,Adrián San Miguel del Castillo,3582,Dribble,
60772,Thibaut Courtois,Thibaut Courtois,3429,Dribble,
61366,Kevin De Bruyne,Kevin De Bruyne,38021,Dribble,1.7037037037037037
61548,Manolo Gabbiadini,Manolo Gabbiadini,20857,Dribble,1.7142857142857142
61566,Roberto Pereyra,Roberto Maximiliano Pereyra,20593,Dribble,1.4807692307692308
61603,Daniel Drinkwater,Danny Drinkwater,8495,Dribble,1.3333333333333333
61604,Matty James,Matty James,192748,Dribble,1.0833333333333333
61858,Mame Biram Diouf,Mame Biram Diouf,15054,Dribble,0.7777777777777778
61933,Shane Duffy,Shane Duffy,8242,Dribble,1.6
62398,Nemanja Matic,Nemanja Matić,70122,Dribble,2.125
62399,Dusan Tadic,Dušan Tadić,383,Dribble,1.44
62974,Erik Lamela,Erik Lamela,20441,Dribble,1.9523809523809523
63370,James McClean,James McClean,8530,Dribble,1.6071428571428572
66242,Davy Pröpper,Davy Pröpper,466,Dribble,1.4102564102564104
66247,Marvin Zeegelaar,Marvin Zeegelaar,189821,Dribble,1.411764705882353
66749,Romelu Lukaku,Romelu Lukaku Menama,7905,Dribble,1.3125
66797,Simon Mignolet,Simon Mignolet,8514,Dribble,
66838,Cenk Tosun,Cenk Tosun,32636,Dribble,1.0
66975,Luka Milivojevic,Luka Milivojević,127537,Dribble,1.28125
67089,Martin Dubravka,Martin Dúbravka,104851,Dribble,
67527,Allan-Roméo Nyom,Allan-Romeo Nyom,5281,Dribble,1.16
68312,Xherdan Shaqiri,Xherdan Shaqiri,49872,Dribble,1.951219512195122
68983,Matthew Lowton,Matthew Lowton,8643,Dribble,0.9090909090909091
69140,Shkodran Mustafi,Shkodran Mustafi,20612,Dribble,1.0
73426,Andre Gray,Andre Gray,10663,Dribble,1.2857142857142858
73494,Grzegorz Krychowiak,Grzegorz Krychowiak,25537,Dribble,1.1481481481481481
73889,Diafra Sakho,Diafra Sakho,26610,Dribble,1.0
74208,Paul Pogba,Paul Pogba,7936,Dribble,1.4545454545454546
74230,Patrick van Aanholt,Patrick van Aanholt,454,Dribble,1.4166666666666667
74375,Ezequiel Schelotto,Matias Ezequiel Schelotto,20855,Dribble,1.2
74471,Aaron Mooy,Aaron Mooy,62389,Dribble,1.2608695652173914
75115,Callum Wilson,Callum Wilson,11669,Dribble,1.7333333333333334
75773,Chung-Yong Lee,Chung-Yong Lee,8049,Dribble,
76359,Phil Jones,Phil Jones,7918,Dribble,1.5714285714285714
76542,Ki Sung-Yueng,Sung-Yeung Ki,61962,Dribble,1.625
77359,Florian Lejeune,Florian Lejeune,3523,Dribble,1.0
77777,Ahmed Hegazi,Ahmed Hegazy,119951,Dribble,1.7222222222222223
77794,Kieran Trippier,Kieran Trippier,8945,Dribble,1.6923076923076923
78007,Joshua King,Joshua King,9637,Dribble,1.5238095238095237
78056,Oriol Romeu,Oriol Romeu Vidal,7899,Dribble,1.0555555555555556
78356,Charlie Austin,Charlie Austin,8953,Dribble,3.0
78412,Shinji Okazaki,Shinji Okazaki,14763,Dribble,1.5
78830,Harry Kane,Harry Kane,8717,Dribble,1.7868852459016393
79228,Pape Souaré,Pape N'Diaye Souaré,25703,Dribble,
79619,Jonathan Hogg,Jonathan Hogg,8897,Dribble,1.3
80146,Jordan Ayew,Jordan Ayew,25571,Dribble,1.7894736842105263
80226,Serge Aurier,Serge Aurier,25785,Dribble,1.4736842105263157
80447,Maya Yoshida,Maya Yoshida,703,Dribble,2.0
80607,Christian Eriksen,Christian Dannemann Eriksen,54,Dribble,1.5945945945945945
80755,Danny Williams,Daniel Williams,15823,Dribble,1.0769230769230769
80801,Idrissa Gueye,Idrissa Gana Gueye,25706,Dribble,1.103448275862069
81880,Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain,7868,Dribble,1.9318181818181819
82263,Marcos Alonso,Marcos Alonso Mendoza,8032,Dribble,1.75
82403,Wilfried Zaha,Wilfried Zaha,8422,Dribble,1.3823529411764706
83283,Nathan Redmond,Nathan Redmond,8116,Dribble,1.8297872340425532
83299,Lewis Dunk,Lewis Dunk,9097,Dribble,0.9333333333333333
83314,Jeff Hendrick,Jeff Hendrick,8980,Dribble,1.3703703703703705
83543,Anthony Knockaert,Anthony Knockaert,25950,Dribble,1.9090909090909092
84112,Collin Quaner,Collin Quaner,16436,Dribble,1.6451612903225807
